num_factura,fecha,proveedor,nif_cif,tipo,categoria,importe_base,iva,importe_total,estado_factura,importe_pendiente
FAC-2024-0065,2024-04-20,Consultoria Ramos,,Gasto,Material De Oficina,13402.05,2814.43,16216.48,Pagada,0.0
FAC-2025-0066,2024-01-31,Papeleria Central,H53046374,Ingreso,Material De Oficina,9187.0,1929.27,11116.27,Vencida,11116.27
FAC-2023-0067,2024-03-28,Asesoría Fiscal López,H83391878,Gasto,Tecnología,5517.26,551.73,6068.99,Vencida,6068.99
FAC-2024-0068,2025-07-17,Hosting & Cloud Slu,G40391065,Gasto,Tecnologia,3342.01,701.82,4043.83,Parcialmente Pagda,2021.915
FAC-2025-0069,2023-06-14,Electricidad Perez,A04786863,Gasto,Formacón,17084.12,3587.67,20671.79,Parcialmente Pagada,10335.895
FAC-2023-0070,2023-04-01,Distribuciones Lopez,D95995342,Ingreso,Formación,20412.13,2041.21,22453.34,Pagad,0.0
FAC-2024-0071,2025-12-10,Formación Tech Academy,D42708668,Gasto,Material De Oficina,8002.42,1680.51,9682.93,Vencida,9682.93
FAC-2025-0072,2024-01-21,Techparts España,F40331739,Gasto,Márketing,20126.03,4226.47,24352.5,Pagada,0.0
FAC-2023-0073,2023-07-21,Papeleria Central,C04899642,Gasto,Infraestructura,20080.27,4216.86,24297.13,Parcialmente Pagada,12148.565
FAC-2024-0074,2023-10-14,Diseño Gráfico Valencia,A10062312,Gasto,Transporte,18021.82,3784.58,21806.4,Vencida,21806.4
FAC-2025-0075,2024-07-16,Suministros García S.L.,B18233984,Gasto,Material De Ofinina,13416.67,536.67,13953.34,Pagada,0.0
FAC-2023-0076,2025-09-01,Logistica Martinez,A33974014,Gasto,Márketing,1450.07,304.51,1754.58,Parcialmente Pagada,877.29
FAC-2024-0077,2025-03-07,Limpieza Industrial Norte,F01631599,Ingreso,Mantenimiento,34013.23,7142.78,41156.01,Pendiente,41156.01
FAC-2025-0078,2024-08-27,Fontanería Express,F51104754,Gasto,Transporte,19961.48,4191.91,24153.39,Parcialmente Pagada,12076.695
FAC-2023-0079,2025-03-05,Consultoría Ramós,C24447212,Gasto,Material De Oficina,19490.27,4092.96,23583.23,Vencida,23583.23
FAC-2024-0080,2025-02-17,Materiales Hernández,59375265,Gasto,Material De Oficina,20111.71,804.47,20916.18,Parcialmente Pagada,10458.09
FAC-2025-0081,2024-03-05,Hosting & Cloud Slu,C43426617,Ingreso,Infraestructura,22203.52,888.14,23091.66,Pagada,0.0
FAC-2023-0082,2023-12-07,Electricidad Pérez,F61014388,Ingreso,Tecnologia,32526.49,6830.56,39357.05,Pendiente,39357.05
FAC-2024-0083,2025-05-01,Electricidad Perez,57177514,Ingreso,Formación,46067.1,9674.09,55741.19,Pagad,0.0
FAC-2025-0084,2025-06-04,Marketing Online Bcn,D41918255,Ingreso,Marketing,20081.33,4217.08,24298.41,Pendiente,24298.41
FAC-2023-0085,2023-12-20,Distribuciones Lopez,C52866929,Gasto,Consultoría,20352.77,814.11,21166.88,Parcialm. Pagada,0.0
FAC-2024-0086,2025-11-01,Suministros García S.L.,90340438,Gasto,Transporte,16344.09,3432.26,19776.35,Pendiente,19776.35
FAC-2025-0087,2023-07-29,Formación Tech Academy,H13395962,Ingreso,Formación,36931.44,3693.14,40624.58,Pendiente,40624.58
FAC-2023-0088,2024-01-07,Servicios Digitales Ruiz,22325367,Gasto,Limpieza,23812.31,5000.59,28812.9,Vencida,28812.9
FAC-2024-0089,2023-01-06,Electricidad Pérez,B86363745,Gasto,Formación,21729.25,4563.14,26292.39,Vencida,26292.39
FAC-2025-0090,2025-07-23,Marketing Online Bcn,B54152064,Ingreso,Tecnología,533.46,112.03,645.49,Pendiente,645.49
FAC-2023-0091,2025-05-14,Marketing Online Bcn,42622189,Ingreso,Material De Oficina,34854.53,7319.45,42173.98,Vencida,42173.98
FAC-2024-0092,2025-02-25,Logística Martínez,E04389836,Ingreso,Transporte,17901.01,3759.21,21660.22,Pagada,0.0
FAC-2025-0093,2025-05-11,Suministros Garcia,A43006848,Gasto,Consultoría,9167.04,916.7,10083.74,Pendiente,10083.74
FAC-2023-0094,2025-06-14,Materiales Hernández,E21020275,Gasto,Marketing,18262.46,1826.25,20088.71,Pagada,0.0
FAC-2024-0095,2023-05-11,Sumnistros García S.L.,,Gasto,Marketing,6610.59,1388.22,7998.81,Vencida,7998.81
FAC-2024-0001,2024-10-17,Seguridad Total S.L.,A61744518,Ingreso,Consultoria,13927.27,2924.73,16852.0,Pendiente,16852.0
FAC-2023-0097,2023-02-18,Transporte Veloz Sa,G41383670,Ingreso,Transporte,12033.39,481.34,12514.73,Pagada,0.0
FAC-2024-0098,2023-06-03,Logística Martínez,G55743132,Ingreso,Infraestructura,29798.84,6257.76,36056.6,Pendiente,36056.6
FAC-2025-0099,2023-07-05,Marketing Online Bcn,D56804420,Gasto,Formación,3982.5,159.3,4141.8,Vencida,4141.8
FAC-2023-0100,2023-06-22,Alimentación Costa,C15107029,Ingreso,Alimentación,29325.03,1173.0,30498.03,Parcialmente Pagada,15249.015
FAC-2024-0101,2024-05-18,Papelería Central,G38380657,Gasto,Formación,16199.6,3401.92,19601.52,Pendiente,19601.52
FAC-2025-0102,2024-04-21,Techparts España,39652239,Gasto,Infraestructura,24350.8,5113.67,29464.47,Vencida,29464.47
FAC-2023-0103,2023-07-04,Diseño Gráfico Valencia,F00292185,Gasto,Transporte,1451.39,304.79,1756.18,Parcialmente Pagada,878.09
FAC-2024-0104,2023-12-26,Diseño Gráfico Valencia,G90295939,Gasto,Transporte,9490.68,379.63,9870.31,Vencida,9870.31
FAC-2025-0105,2023-05-19,Marketing Online Bcn,H65861793,Ingreso,Limpiesa,17848.82,3748.25,21597.07,Pendiente,21597.07
FAC-2023-0106,2025-06-02,Formación Tech Academy,E44310698,Ingreso,Consultoria,47150.89,4715.09,51865.98,Parcialm. Pagada,0.0
FAC-2024-0107,2025-08-22,Logística Martínez,04774349,Gasto,Tecnologia,12252.97,490.12,12743.09,Vencida,12743.09
FAC-2025-0108,2024-04-27,Fontanería Express,C17223320,Gasto,Infraestructura,11932.74,2505.88,14438.62,Parcialmente Pagada,7219.31
FAC-2023-0109,2024-10-29,Logística Martínez,G16229991,Gasto,Infraestrucutra,21422.77,4498.78,25921.55,Parcialmente Pagda,12960.775
FAC-2024-0110,2025-04-05,Hosting & Cloud Slu,D07450544,Gasto,Mat. Oficina,3639.12,764.22,4403.34,Pendente,0.0
FAC-2025-0111,2025-04-13,Mobiliario Oficina Plus,G28902330,Ingreso,Alimentación,37176.77,7807.12,44983.89,Parcialmente Pagada,22491.945
FAC-2023-0112,2025-08-29,Alimentacion Costa,G02933334,Gasto,Formación,14692.66,587.71,15280.37,Parcialmente Pagada,7640.185
FAC-2024-0113,2024-09-17,Mobiliario Oficina Plus,E89691085,Ingreso,Alimentacion,35780.65,1431.23,37211.88,Vencida,37211.88
FAC-2025-0114,2025-04-07,Transporte Velóz S.A.,G60993538,Ingreso,Infraestructura,33196.25,3319.62,36515.87,Pendiente,36515.87
FAC-2023-0115,2024-01-10,Limpieza Industrial Norte,F54947170,Ingreso,Formación,47372.71,1894.91,49267.62,Pendiente,49267.62
FAC-2024-0116,2024-02-15,Limpieza Industrial Norte,H52500743,Gasto,Material De Oficina,8599.61,1805.92,10405.53,Pendiente,10405.53
FAC-2025-0117,2024-02-13,Diseño Gráfico Valencia,D35421689,Gasto,Material De Oficina,18279.94,3838.79,22118.73,Pagada,0.0
FAC-2023-0118,2023-12-04,Materiales Hernandez,C15064890,Gasto,Formación,23704.7,4977.99,28682.69,Vencida,28682.69
FAC-2024-0119,2025-05-11,Diseño Gráfico Valencia,B41173934,Ingreso,Alimentación,33252.4,6983.0,40235.4,Pagada,0.0
FAC-2025-0120,2023-07-02,Diseño Gráfico Valencia,B43744701,Gasto,Alimentación,22676.66,4762.1,27438.76,Pagada,0.0
FAC-2023-0121,2025-06-15,Suministros García S.L.,H46762120,Ingreso,Transporte,47776.91,1911.08,49687.99,Vencida,49687.99
FAC-2024-0122,2023-08-20,Electricidad Pérez,58891637,Ingreso,Transporte,44435.9,9331.54,53767.44,Parcialmente Pagda,26883.72
FAC-2025-0123,2024-05-08,Diseño Gráfico Valencia,H97177517,Ingreso,Tecnología,16879.29,675.17,17554.46,Parcialmente Pagada,8777.23
FAC-2023-0124,2023-04-22,Limpieza Industrial Norte,F71130554,Ingreso,Formación,40921.14,8593.44,49514.58,Vencida,49514.58
FAC-2024-0125,2024-03-17,Papelería Central,B77982708,Ingreso,Alimentación,23123.78,2312.38,25436.16,Pagada,0.0
FAC-2025-0126,2024-10-21,Hosting & Clud Slu,F47226984,Ingreso,Transporte,25453.45,5345.22,30798.67,Pagada,0.0
FAC-2023-0127,2024-12-22,Materiales Hernández,E60810620,Ingreso,Infraestructura,28332.87,5949.9,34282.77,Vencida,34282.77
FAC-2024-0128,2025-03-07,Electricidad Pérez,F80043973,Gasto,Tecnología,5978.01,239.12,6217.13,Pendiente,6217.13
FAC-2025-0129,2024-01-18,Transporte Veloz S.A.,,Gasto,Formación,24063.76,5053.39,29117.15,Pendiente,29117.15
FAC-2023-0130,2023-11-23,Consultoría Ramos,F54398780,Ingreso,Transporte,21088.6,4428.61,25517.21,Pagada,0.0
FAC-2024-0131,2025-11-24,Fontaneria Express,D58112880,Gasto,Infraestructura,20561.62,822.46,21384.08,Vencida,21384.08
FAC-2025-0132,2024-11-10,Seguirdad Total S.L.,G67665061,Ingreso,Transporte,2375.37,498.83,2874.2,Pagada,0.0
FAC-2023-0133,2025-06-15,Limpieza Industrial Norte,E24508821,Gasto,Mantenimiento,9566.27,2008.92,11575.19,Pagada,0.0
FAC-2024-0134,2023-08-23,Servicios Digitales Ruiz,H81414139,Ingreso,Alimentación,9477.22,1990.22,11467.44,Vencida,11467.44
FAC-2025-0135,2025-05-27,Hosting & Cloud Slu,F25777547,Ingreso,Mantenimiento,8847.66,353.91,9201.57,Vencida,9201.57
FAC-2023-0136,2024-03-11,Suministros Garciá S.L,D94278816,Ingreso,Mantenimiento,45362.03,9526.03,54888.06,Parcialmente Pagada,27444.03
FAC-2024-0137,2024-03-24,Servicios Digitales Ruiz,F67700518,Ingreso,Formación,38192.88,3819.29,42012.17,Vencida,42012.17
FAC-2025-0138,2025-04-11,Logística Martínez,C72318432,Gasto,Marketing,8854.81,354.19,9209.0,Pendiente,9209.0
FAC-2023-0139,2023-03-30,Hosting Cloud Slu,28699041,Ingreso,Marketing,6830.31,1434.37,8264.68,Pagada,0.0
FAC-2024-0140,2023-05-21,Asesoría Fiscal López,C91279908,Gasto,Transporte,5783.85,1214.61,6998.46,Vencida,6998.46
FAC-2025-0141,2025-05-28,Seguridad Total S.L.,B62473149,Gasto,Consultoria,5775.68,1212.89,6988.57,Pagada,0.0
FAC-2023-0142,2025-05-22,Consultoría Ramos,G36887258,Gasto,Consultoría,16306.82,652.27,16959.09,Pagada,0.0
FAC-2024-0143,2025-03-31,Marketing Online Bcn,A12796114,Ingreso,Tecnología,39411.02,8276.31,47687.33,Pendiente,47687.33
FAC-2025-0144,2024-08-08,Diseño Gráfico Valencia,F30214656,Gasto,Material De Oficina,4908.93,1030.88,5939.81,Pendiente,5939.81
FAC-2023-0145,2023-01-10,Alimentacion Costa,E89476973,Ingreso,Formación,13424.82,2819.21,16244.03,Parcialmente Pagada,8122.015
FAC-2023-0001,2023-01-20,Alimentacion Costa,H55394237,Gasto,Marketing,17535.42,701.42,18236.84,Vencida,18236.84
FAC-2025-0147,2025-01-30,Diseño Gráfico Valencia,E63920867,Ingreso,Infraestructura,31223.04,6556.84,37779.88,Pagada,0.0
FAC-2023-0148,2023-07-26,Sumnistros García S.L.,H63655647,Ingreso,Alimentacion,16609.09,3487.91,20097.0,Parcialmente Pagada,10048.5
FAC-2024-0149,2023-12-28,Transporte Veloz S.A.,E48906120,Ingreso,Transporte,21365.27,2136.53,23501.8,Parcialmente Pagada,11750.9
FAC-2025-0150,2024-12-20,Papelería Central,H71694722,Gasto,Material De Oficina,21690.85,4555.08,26245.93,Parcialm. Pagada,0.0
FAC-2023-0151,2025-03-20,Alimentación Costa,H62202341,Gasto,Consultoría,6817.64,1431.7,8249.34,Vencidda,0.0
FAC-2024-0152,2023-09-16,Limpieza Industrial Norte,H84872829,Ingreso,Alimentación,6998.22,699.82,7698.04,Vencida,7698.04
FAC-2025-0153,2025-01-19,Diseño Gráfico Valencia,A77406493,Ingreso,Tegnología,20904.09,2090.41,22994.5,Parcialmente Pagada,11497.25
FAC-2023-0154,2024-07-10,Papelería Centrl,B79749735,Ingreso,Marketing,14591.5,3064.21,17655.71,Pendiente,17655.71
FAC-2024-0155,2025-07-08,Consultoría Ramós,,Gasto,Limpieza,17438.52,3662.09,21100.61,Parcialm. Pagada,0.0
FAC-2025-0001,2025-09-12,Servicios Digitales Ruiz,F02491630,Ingreso,Infraestructura,32106.74,3210.67,35317.41,Pagada,0.0
FAC-2023-0157,2023-08-08,Consultoría Ramós,D06524077,Ingreso,Material De Oficina,6728.46,672.85,7401.31,Vencida,7401.31
FAC-2024-0001,2024-08-28,Mobiliario Oficina Plus,F93518638,Ingreso,Tecnologia,41061.22,8622.86,49684.08,Pendiente,49684.08
FAC-2025-0159,2024-01-28,Servicios Digitales Ruiz,E05391037,Ingreso,Alimentación,5388.3,1131.54,6519.84,Pagada,0.0
FAC-2023-0160,2023-03-25,Electricidad Perez,G33839288,Ingreso,Mantenimiento,36847.87,1473.91,38321.78,Vencida,38321.78
FAC-2024-0161,2024-10-07,Asesoria Fiscal Lopez,D68457760,Gasto,Transporte,13774.53,550.98,14325.51,Parcialmente Pagada,7162.755
FAC-2025-0162,2025-11-13,Transporte Veloz S.A.,D34419693,Gasto,Material De Oficina,13930.26,2925.35,16855.61,Vencida,16855.61
FAC-2023-0163,2023-04-25,Mobiliario Oficina Plus,D90604805,Gasto,Material De Ofinina,23050.69,922.03,23972.72,Parcialmente Pagda,11986.36
FAC-2024-0164,2023-06-19,Limpieza Industrial Norte,C27837693,Gasto,Transporte,11922.57,2503.74,14426.31,Pendiente,14426.31
FAC-2025-0165,2024-01-26,Distribuciones López,H92703352,Gasto,Marketing,8052.42,1691.01,9743.43,Vencida,9743.43
FAC-2023-0166,2024-04-03,Limpieza Industrial Norte,06980420,Gasto,Formacion,18513.32,1851.33,20364.65,Pagada,0.0
FAC-2024-0167,2025-02-18,Distribuciones López,H80038457,Ingreso,Limpieza,25672.75,5391.28,31064.03,Parcialmente Pagada,15532.015
FAC-2025-0168,2024-07-27,Papelería Central,D63926495,Ingreso,Limpieza,11666.34,466.65,12132.99,Parcialmente Pagada,6066.495
FAC-2023-0169,2023-05-19,Materiales Hernández,64742312,Gasto,Transporte,13955.64,2930.68,16886.32,Pendente,0.0
FAC-2025-0001,2025-10-03,Materiales Hernández,D33127975,Gasto,Consultoría,11872.48,1187.25,13059.73,Pendiente,13059.73
FAC-2025-0171,2025-07-24,Fontanería Express,A86803476,Ingreso,Infraestructura,41437.0,8701.77,50138.77,Pagad,0.0
FAC-2023-0172,2025-04-26,Logísitca Martínez,45211175,Ingreso,Transporte,16511.32,3467.38,19978.7,Pendiente,19978.7
FAC-2024-0173,2024-09-22,Servicios Digitales Ruiz,A94077780,Ingreso,Transporte,15821.16,3322.44,19143.6,Pagada,0.0
FAC-2025-0174,2023-04-23,Mobiliario Oficina Plus,A16224999,Ingreso,Material De Oficina,32837.21,6895.81,39733.02,Pendiente,39733.02
FAC-2023-0175,2025-08-22,Logística Martínez,B98179469,Gasto,Infraestructura,3406.92,136.28,3543.2,Pagada,0.0
FAC-2024-0176,2023-08-31,Servicios Digitales Ruiz,A55830344,Ingreso,Limpieza,1687.35,354.34,2041.69,Pendiente,2041.69
FAC-2025-0177,2025-08-29,Servicios Digitales Ruiz,F76084958,Ingreso,Consultoría,39964.09,3996.41,43960.5,Vencida,43960.5
FAC-2023-0178,2025-03-08,Consultoria Ramos,E61735743,Gasto,Infraestructura,4725.1,992.27,5717.37,Pendente,0.0
FAC-2024-0179,2025-12-08,Asesoría Fiscal López,C30768104,Ingreso,Alimentación,15862.76,634.51,16497.27,Vencida,16497.27
FAC-2025-0180,2024-07-20,Transporte Veloz Sa,B38585424,Gasto,Alimentación,13330.28,2799.36,16129.64,Pendiente,16129.64
FAC-2023-0181,2025-03-13,Distribuciones López,,Gasto,Material De Oficina,4515.63,948.28,5463.91,Pagada,0.0
FAC-2024-0182,2024-11-07,Materiales Hernández,C45992816,Gasto,Consultoria,19730.03,789.2,20519.23,Parcialmente Pagada,10259.615
FAC-2025-0183,2025-02-25,Mobiliario Oficina Plus,F83219719,Ingreso,Infraestructura,3769.97,377.0,4146.97,Pendiente,4146.97
FAC-2023-0184,2024-03-21,Fontanería Express,H84699733,Gasto,Formación,20434.99,4291.35,24726.34,Pagada,0.0
FAC-2024-0185,2024-08-25,Hosting & Clud Slu,A36965666,Ingreso,Mantenimiento,3589.32,753.76,4343.08,Parcialmente Pagada,2171.54
FAC-2025-0186,2025-09-23,Materiales Hernández,G92786876,Ingreso,Tecnología,33067.37,3306.74,36374.11,Pagada,0.0
FAC-2023-0187,2023-08-20,Electricidad Pérez,H81891371,Ingreso,Material De Oficina,29223.3,6136.89,35360.19,Parcialmente Pagda,17680.095
FAC-2024-0188,2024-12-23,Asesoría Fiscal López,E07929049,Gasto,Mantenimiento,24016.5,960.66,24977.16,Vencida,24977.16
FAC-2025-0189,2025-09-20,Marketing Online Bcn,C76637239,Gasto,Transporte,4561.19,957.85,5519.04,Vencida,5519.04
FAC-2023-0190,2024-06-21,Formación Tech Academy,A18569454,Ingreso,Marketing,7684.92,1613.83,9298.75,Parcialmente Pagada,4649.375
FAC-2024-0191,2023-01-22,Transporte Velóz S.A.,E30091093,Gasto,Transporte,16836.41,3535.65,20372.06,Vencida,20372.06
FAC-2025-0192,2025-08-14,Servicios Digitales Ruiz,F42140665,Ingreso,Transporte,33193.65,6970.67,40164.32,Vencida,0.0
FAC-2023-0193,2023-06-08,Ditribuciones López,00642569,Ingreso,Infraestructura,45674.16,1826.97,47501.13,Parcialmente Pagada,23750.565
FAC-2024-0194,2025-01-05,Suministros Garcia Sl,B74328063,Gasto,Formación,8369.32,334.77,8704.09,Pagada,0.0
FAC-2025-0195,2025-12-29,Diseño Gráfico Valencia,G13878293,Gasto,Tecnología,24125.6,5066.38,29191.98,Vencida,29191.98
FAC-2023-0196,2023-05-11,Limpieza Industrial Norte,G56519825,Ingreso,Formación,40981.11,8606.03,49587.14,Pendiente,49587.14
FAC-2024-0197,2023-03-25,Electricidad Perez,C19467232,Ingreso,Formación,7101.86,1491.39,8593.25,Pendiente,8593.25
FAC-2025-0198,2024-04-27,Logística Martínez,34031277,Gasto,Cosultoría,4837.98,1015.98,5853.96,Parcialmente Pagada,2926.98
